agent,ipsource,ipdestination,tcpsourceport,tcpdestinationport,bytes,rate(bytes)
67.58.51.248,10.244.4.218,10.244.217.218,TCP:42898,TCP:6802,1924220000,32070300
67.58.51.236,10.244.149.211,10.244.107.143,TCP:6802,TCP:44398,1891540000,31525700
67.58.51.231,10.244.156.249,10.244.1.231,TCP:6802,TCP:55760,1890300000,31505000
67.58.51.245,10.244.73.230,67.58.51.245,TCP:6801,TCP:48990,1881080000,31351300
67.58.51.245,10.244.113.27,67.58.51.245,TCP:6801,TCP:41594,1880560000,31342700
67.58.51.245,10.244.167.177,67.58.51.245,TCP:6801,TCP:43218,1880560000,31342700
67.58.51.236,10.244.149.211,10.244.43.101,TCP:6802,TCP:40520,1878710000,31311800
67.58.51.243,10.244.213.2,10.244.53.157,TCP:42678,TCP:6802,1874760000,31246000
67.58.51.229,10.244.149.211,67.58.51.229,TCP:6801,TCP:35046,1873280000,31221300
67.58.51.237,10.244.179.251,67.58.51.230,TCP:6801,TCP:42492,1872240000,31204000
67.58.51.247,10.244.194.68,67.58.51.233,TCP:6801,TCP:47422,1872240000,31204000
67.58.51.241,10.244.206.175,67.58.51.239,TCP:6801,TCP:49150,1872240000,31204000
67.58.51.242,10.244.53.157,67.58.51.226,TCP:6801,TCP:33750,1872240000,31204000
67.58.51.245,10.244.1.231,67.58.51.233,TCP:6801,TCP:37486,1872240000,31204000
67.58.51.233,10.244.167.177,67.58.51.239,TCP:6801,TCP:45284,1872240000,31204000
67.58.51.231,10.244.156.249,67.58.51.227,TCP:6801,TCP:35796,1872240000,31204000
67.58.51.239,10.244.158.219,67.58.51.227,TCP:6801,TCP:47516,1872240000,31204000
67.58.51.239,10.244.158.219,67.58.51.232,TCP:6801,TCP:33052,1872240000,31204000
192.154.2.253,192.154.2.253,10.244.90.80,138.23.104.66,10.244.15.62,TCP:6802,TCP:56734,rook,rook-ceph-osd-78-6984dbcb6-vdfkn,osd,rook,rook-ceph-osd-191-6759ffcdc6-jmcm4,osd,1803200000,30053300
198.17.101.66,198.17.101.66,198.129.208.230,TCP:8000,TCP:55194,1799110000,29985200
198.32.43.89,198.32.43.89,10.244.216.77,163.253.71.2,10.244.84.15,TCP:50942,TCP:5201,perfsonar,testpoint-qcg58,testpoint,perfsonar,testpoint-cb59k,testpoint,1796000000,29933300
128.114.109.72,128.114.109.72,10.244.71.166,68.181.11.162,10.244.182.232,TCP:41210,TCP:6802,rook,rook-ceph-osd-40-597d9686d5-rq978,osd,rook,rook-ceph-osd-146-6b5c8648bd-zwljr,osd,1796000000,29933300
192.154.2.253,192.154.2.253,10.244.90.112,138.23.104.66,10.244.15.42,TCP:46694,TCP:6808,rook,rook-ceph-osd-73-78b9fb5fcf-22rcf,osd,rook,rook-ceph-osd-188-645c7cbf8b-fbkjr,osd,1796000000,29933300
192.154.2.253,192.154.2.253,10.244.90.75,138.23.104.66,10.244.15.42,TCP:35164,TCP:6808,rook,rook-ceph-osd-80-d786488c7-5h2g9,osd,rook,rook-ceph-osd-188-645c7cbf8b-fbkjr,osd,1796000000,29933300
192.154.2.253,192.154.2.253,10.244.90.95,171.66.4.11,10.244.90.184,TCP:35992,TCP:6802,rook,rook-ceph-osd-82-78965c5475-mkwj5,osd,rook,rook-ceph-osd-48-5ccc55d599-str52,osd,1796000000,29933300
67.58.51.245,10.244.217.218,67.58.51.245,TCP:6801,TCP:51404,1791480000,29858000
168.123.136.165,168.123.136.165,199.109.80.17,TCP:50378,TCP:5201,1791160000,29852700
67.58.51.236,10.244.149.211,67.58.51.247,TCP:6801,TCP:32768,1783160000,29719300
67.58.51.230,10.244.213.2,67.58.51.230,TCP:6801,TCP:33754,1778540000,29642300
67.58.51.240,10.244.217.218,67.58.51.229,TCP:6801,TCP:60186,1761170000,29352800
67.58.51.245,10.244.158.219,67.58.51.245,TCP:6801,TCP:38898,1701880000,28364700
67.58.51.40,199.109.80.16,10.244.210.221,67.58.51.40,10.244.80.243,TCP:8080,TCP:42086,kraken,kraken-origin-696757d685-b9zkm,main,kraken,kraken-agent-gfbkf,main,1672800000,27880000
198.17.101.70,104.18.124.25,198.17.101.70,TCP:443,TCP:35296,1671210000,27853500
67.58.51.239,10.244.158.219,67.58.51.235,TCP:6801,TCP:56194,1669760000,27829300
67.58.51.243,10.244.213.2,10.244.167.177,TCP:41240,TCP:6802,1655710000,27595200
130.191.103.1,130.191.103.1,192.5.19.135,TCP:443,TCP:60952,1639400000,27323300
67.58.51.245,10.244.129.197,67.58.51.245,TCP:6801,TCP:49394,1612800000,26880000
67.58.51.229,10.244.53.157,67.58.51.229,TCP:6801,TCP:60580,1606560000,26776000
67.58.51.234,10.244.43.101,67.58.51.245,TCP:6801,TCP:60040,1606560000,26776000
67.58.51.243,10.244.107.143,10.244.213.2,TCP:33228,TCP:6802,1580160000,26336000
67.58.51.248,10.244.4.218,10.244.156.249,TCP:6802,TCP:34082,1572910000,26215200
67.58.51.244,10.244.113.27,67.58.51.233,TCP:6801,TCP:34426,1566030000,26100500
67.58.51.233,10.244.167.177,10.244.149.211,TCP:53170,TCP:6802,1541830000,25697200
67.58.51.233,10.244.53.157,67.58.51.233,TCP:6801,TCP:40484,1508830000,25147200
67.58.51.231,10.244.156.249,10.244.56.177,TCP:41180,TCP:6802,1489510000,24825200
67.58.51.53,67.58.51.234,10.244.43.101,67.58.51.53,10.244.5.72,TCP:6801,TCP:57546,rook-haosu,rook-ceph-osd-8-56b49ccd65-5cmb8,osd,_,_,_,1473250000,24554200
67.58.51.234,10.244.43.101,67.58.51.247,TCP:6801,TCP:59802,1470710000,24511800
67.58.53.160,169.228.132.14,10.244.155.223,67.58.53.160,10.244.152.75,TCP:8081,TCP:43543,kraken,kraken-agent-4svc8,main,_,_,_,1440540000,24009100
130.191.49.222,192.154.2.253,10.244.90.89,130.191.49.222,10.244.18.2,TCP:6802,TCP:54652,rook,rook-ceph-osd-74-df984d978-9wcs2,osd,rook,rook-ceph-osd-32-7689f9ffdd-vjcgw,osd,1435340000,23922300
67.58.51.61,171.66.4.10,10.244.88.13,67.58.51.61,10.244.211.0,TCP:6801,TCP:59248,rook,rook-ceph-osd-182-59868476db-5b6f4,osd,_,_,_,1434200000,23903300
67.58.50.67,192.154.2.253,10.244.90.66,67.58.50.67,10.244.16.47,TCP:47342,TCP:6808,rook,rook-ceph-osd-93-7d84d6f85c-jgbgh,osd,rook,rook-ceph-osd-97-7655cfc58f-b4cvd,osd,1432080000,23868000
67.58.51.232,10.244.73.230,67.58.51.245,TCP:6801,TCP:48990,1428920000,23815300
138.23.104.66,198.17.101.46,10.244.1.35,138.23.104.66,10.244.15.18,TCP:40108,TCP:6808,rook,rook-ceph-osd-127-5f7d8f5d9f-vrbfv,osd,rook,rook-ceph-osd-196-bf948bd49-7d8p9,osd,1428160000,23802700
138.23.104.66,128.114.109.70,10.244.10.50,138.23.104.66,10.244.15.17,TCP:43262,TCP:6808,rook,rook-ceph-osd-17-64b76866d7-nhhpd,osd,rook,rook-ceph-osd-199-6fd6958d86-ncvrs,osd,1428160000,23802700
138.23.104.66,67.58.53.218,10.244.42.113,138.23.104.66,10.244.15.42,TCP:6808,TCP:55658,rook,rook-ceph-osd-204-6b466cd87-t97xm,osd,rook,rook-ceph-osd-188-645c7cbf8b-fbkjr,osd,1428160000,23802700
171.66.4.11,128.111.68.131,10.244.87.52,171.66.4.11,10.244.90.129,TCP:6802,TCP:56910,rook,rook-ceph-osd-68-94c65db8f-cklc4,osd,rook,rook-ceph-osd-153-9b6f75c64-66bnw,osd,1428160000,23802700
192.154.2.254,10.244.90.86,10.244.33.0,TCP:34968,TCP:6802,1427360000,23789300
67.58.51.240,10.244.217.218,10.244.56.177,TCP:6802,TCP:52934,1426450000,23774200
67.58.51.246,10.244.56.177,67.58.51.233,TCP:6801,TCP:53854,1415590000,23593200
67.58.51.246,10.244.56.177,10.244.179.251,TCP:6802,TCP:35742,1387530000,23125500
67.58.51.240,10.244.217.218,10.244.149.211,TCP:6802,TCP:49688,1379450000,22990800
199.109.80.16,199.109.80.16,10.244.210.221,129.93.241.5,10.244.6.41,TCP:43198,TCP:80,kraken,kraken-origin-696757d685-b9zkm,main,_,_,_,1377810000,22963600
67.58.51.247,10.244.149.211,10.244.194.68,TCP:58698,TCP:6802,1345870000,22431200
67.58.51.232,10.244.73.230,10.244.1.231,TCP:6802,TCP:54178,1345350000,22422500
128.114.86.12,128.114.86.12,128.114.198.38,TCP:50738,TCP:5201,1343760000,22396000
